20/11/2016,Brooklyn Nets,Portland Trail Blazers
20/11/2016,Oklahoma City Thunder,Indiana Pacers
20/11/2016,Denver Nuggets,Utah Jazz
20/11/2016,Sacramento Kings,Toronto Raptors
20/11/2016,Los Angeles Lakers,Chicago Bulls
21/11/2016,Charlotte Hornets,Memphis Grizzlies
21/11/2016,Indiana Pacers,Golden State Warriors
21/11/2016,Philadelphia 76ers,Miami Heat
21/11/2016,Washington Wizards,Phoenix Suns
21/11/2016,Detroit Pistons,Houston Rockets
21/11/2016,Milwaukee Bucks,Orlando Magic
21/11/2016,Minnesota Timberwolves,Boston Celtics
21/11/2016,San Antonio Spurs,Dallas Mavericks
21/11/2016,Los Angeles Clippers,Toronto Raptors
22/11/2016,Atlanta Hawks,New Orleans Pelicans
22/11/2016,New York Knicks,Portland Trail Blazers
22/11/2016,Denver Nuggets,Chicago Bulls
22/11/2016,Los Angeles Lakers,Oklahoma City Thunder
23/11/2016,Charlotte Hornets,San Antonio Spurs
23/11/2016,Cleveland Cavaliers,Portland Trail Blazers
23/11/2016,Indiana Pacers,Atlanta Hawks
23/11/2016,Orlando Magic,Phoenix Suns
23/11/2016,Philadelphia 76ers,Memphis Grizzlies
23/11/2016,Brooklyn Nets,Boston Celtics
23/11/2016,Detroit Pistons,Miami Heat
23/11/2016,Houston Rockets,Toronto Raptors
23/11/2016,Dallas Mavericks,Los Angeles Clippers
23/11/2016,Utah Jazz,Denver Nuggets
23/11/2016,New Orleans Pelicans,Minnesota Timberwolves
23/11/2016,Golden State Warriors,Los Angeles Lakers
23/11/2016,Sacramento Kings,Oklahoma City Thunder
25/11/2016,Boston Celtics,San Antonio Spurs
25/11/2016,Orlando Magic,Washington Wizards
25/11/2016,Cleveland Cavaliers,Dallas Mavericks
25/11/2016,Detroit Pistons,Los Angeles Clippers
25/11/2016,New York Knicks,Charlotte Hornets
25/11/2016,Philadelphia 76ers,Chicago Bulls
25/11/2016,Indiana Pacers,Brooklyn Nets
25/11/2016,Memphis Grizzlies,Miami Heat
25/11/2016,Milwaukee Bucks,Toronto Raptors
25/11/2016,Utah Jazz,Atlanta Hawks
25/11/2016,Denver Nuggets,Oklahoma City Thunder
25/11/2016,Phoenix Suns,Minnesota Timberwolves
25/11/2016,Portland Trail Blazers,New Orleans Pelicans
25/11/2016,Los Angeles Lakers,Golden State Warriors
25/11/2016,Sacramento Kings,Houston Rockets
26/11/2016,Charlotte Hornets,New York Knicks
26/11/2016,Washington Wizards,San Antonio Spurs
26/11/2016,Miami Heat,Memphis Grizzlies
26/11/2016,Oklahoma City Thunder,Detroit Pistons
26/11/2016,Golden State Warriors,Minnesota Timberwolves
27/11/2016,Philadelphia 76ers,Cleveland Cavaliers
27/11/2016,Phoenix Suns,Denver Nuggets
27/11/2016,Brooklyn Nets,Sacramento Kings
27/11/2016,Indiana Pacers,Los Angeles Clippers
27/11/2016,Orlando Magic,Milwaukee Bucks
27/11/2016,Dallas Mavericks,New Orleans Pelicans
27/11/2016,Portland Trail Blazers,Houston Rockets
27/11/2016,Los Angeles Lakers,Atlanta Hawks
28/11/2016,Washington Wizards,Sacramento Kings
28/11/2016,Miami Heat,Boston Celtics
28/11/2016,New York Knicks,Oklahoma City Thunder
28/11/2016,Toronto Raptors,Philadelphia 76ers
28/11/2016,Memphis Grizzlies,Charlotte Hornets
28/11/2016,Minnesota Timberwolves,Utah Jazz
28/11/2016,Golden State Warriors,Atlanta Hawks
29/11/2016,Charlotte Hornets,Detroit Pistons
29/11/2016,Brooklyn Nets,Los Angeles Clippers
29/11/2016,Milwaukee Bucks,Cleveland Cavaliers
